smartwatch_id,title,url,price
0,"HUAWEI WATCH FIT Smartwatch with Slim Metal Body, 1.64” Vivid AMOLED Display, Quick-Workout Animations, 10 Days Battery Life, Oxygen Saturation Detection, Heart Rate Monitoring, Graphite Black",https://www.amazon.ae/b?node=12303814031,AED 324.00
1,"AGPTEK Smart Watch for Android and iOS Phones, Full Touch Fitness Tracker with Heart Rate Monitor, DIY Watch Face and Multiple Sports,IP68 Waterproof Smartwatch for Men Women (Black)",https://www.amazon.ae/b?node=12303814031,AED 143.55
2,"Fitbit Versa 3, Health & Fitness Smartwatch with GPS, 24/7 Heart Rate, Voice Assistant & up to 6+ Days Battery, Black/Black Aluminium",https://www.amazon.ae/b?node=12303814031,
3,Smart Watch Men Women Smart band Blood Pressure Measurement Waterproof Fitness Tracker Bracelet Heart Rate Monitor Smart watch,https://www.amazon.ae/b?node=12303814031,AED 31.70
4,Samsung Galaxy Watch 46mm SM-R800NZSAXSG - Silver,https://www.amazon.ae/b?node=12303814031,
5,"HUAWEI WATCH GT 2 Pro Smartwatch, 1.39"" AMOLED HD Touchscreen, 2-Week Battery Life, GPS and GLONASS, SpO2, 100+ Workout Modes, Black",https://www.amazon.ae/b?node=12303814031,AED 979.00
6,"Huawei Latona Smartwatch with GPS, 46mm, GT2 Black",https://www.amazon.ae/b?node=12303814031,AED 579.00
7,HW12 Full Screen Smart Watch 40MM Women Men Smartwatch Split Screen Bluetooth HD Call Play Music Sport Wrist (blue),https://www.amazon.ae/b?node=12303814031,AED 69.95
8,IDO ID107 Smart Bracelet Heart Rate Monitor Call Reminder Pedometer,https://www.cigabuy.com/,$19.06
9,OUYAWEI W34 Bluetooth Call Smart Watch ECG Heart Rate Monitor Smartwatch for Android iPhone Xiaomi black,https://www.amazon.ae/b?node=12303814031,AED 62.00
10,New Zeblaze Hybrid 2 Smartwatch Heart Rate Waterproof Sleep Fitness Tracker,https://www.cigabuy.com/,$44.01
11,"2020 new Smartwatch IWO15 W26 44mm Watch 6 Smart Watch ECG Heart Rate Monitor Temperature Waterproof IP68 PK IWO 11 IWO 8 IWO 13,Black",https://www.amazon.ae/b?node=12303814031,
12,IP67 P8 Smart Watch Wristband Men Women Monitor Smartwatch Tracker For Phone,https://www.cigabuy.com/,
13,HOODLI's Smartwatch W26 + Extra Replacement Strap (Nike+ Series) - 1.75 inch Full Touch HD Screen - Fitness Watch - ECG Heart Rate Monitor Waterproof Bluetooth Call (Nike+ Black),https://www.amazon.ae/b?node=12303814031,AED 73.00
14,New Smartwatch Zeblaze Crystal 3 IP67 Long Standby IPS Display Smart Watch,https://www.cigabuy.com/,$33.15
15,Smart Watch - 321OU Touch Screen Bluetooth Smart Wrist Watch Smartwatch Phone Fitness Tracker with SIM SD Card Slot Camera Pedometer for iPhone iOS Samsung LG Android for Women Men Kids (Silver),https://www.amazon.ae/b?node=12303814031,AED 38.81
16,BT01 Smart Watch Body IP68 Waterproof Heart Rate Fitness Tracker,https://www.cigabuy.com/,
17,B BRAND CODE U68 PLUS Large Touch Screen 1.6 Inch Spin Button Smartwatch for men Fitness Waterproof Heart Rate Sleep Phone Call Message Alarm 30 Days Super Long Standby Free Mobile Holder(BLACK),https://www.amazon.ae/b?node=12303814031,
18,Zeblaze VIBE 5 PRO Color Touch Display  IP67 Smart Watch,https://www.cigabuy.com/,$94.18
19,B BRAND CODE T900 Smartwatch for men Fitness Tracker IP67 Shower Waterproof Touch Screen Watches Phone Call Speaker Heart Rate Sleep Monitor Trackers Pedometer Phone Call Message Notification (BLACK),https://www.amazon.ae/b?node=12303814031,AED 59.00
20,ZL13 Smart Watch Women Stainless Steel Color screen Smartwatch with Heart Rate,https://www.cigabuy.com/,
